kepid datalocation fits srad kepmag syntheticbool activity syntheticid syndetectbool userxmin userxmax userxmid userduration thresholddown thresholdup maxcount
8042251 http://www.planethunters.org/subjects/8042251_5-synth-1463.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0.593 11.264 True 0.00202411 1463 True 505.692208557 506.100898185 505.8965533 0.408689628 0.48 0.5 0.76215208734
9333505 http://www.planethunters.org/subjects/9333505_1-synth-1464.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009166043257_llc.fits 0.29 12.889 True 0.002231568 1464 True 132.534150811 132.963271766 132.7487112 0.429120955 0.48 0.5 0.758185836659
9333505 http://www.planethunters.org/subjects/9333505_1-synth-1464.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009166043257_llc.fits 0.29 12.889 True 0.002231568 1464 True 143.609542942 144.038662597 143.8241027 0.429119655 0.48 0.5 0.874355941656
9333505 http://www.planethunters.org/subjects/9333505_1-synth-1464.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009166043257_llc.fits 0.29 12.889 True 0.002231568 1464 True 154.644029794 155.093582106 154.8688059 0.449552312 0.48 0.5 0.867880334694
12268054 http://www.planethunters.org/subjects/12268054_10-synth-1468.json /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011271113734_llc.fits 0.609 13.212 True 0.003874598 1468 True 914.508003601 914.875818444 914.6919110 0.367814842 0.48 0.5 0.769431347857
6470362 http://www.planethunters.org/subjects/6470362_5-synth-1475.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2010174085026_llc.fits 0.27 15.297 True 0.000586369 1475 True 491.755767963 492.225763042 491.9907655 0.469995079 0.48 0.5 0.917886494281
9833329 http://www.planethunters.org/subjects/9833329_13-synth-1476.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2012179063303_llc.fits 0.435 14.393 True 0.000699699 1476 True 1214.28728786 1214.59380283 1214.440545 0.306514963 0.48 0.5 0.737176991939
9833329 http://www.planethunters.org/subjects/9833329_13-synth-1476.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2012179063303_llc.fits 0.435 14.393 True 0.000699699 1476 True 1223.97317203 1224.40229371 1224.187732 0.429121679 0.48 0.5 0.887523219773
9833329 http://www.planethunters.org/subjects/9833329_13-synth-1476.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2012179063303_llc.fits 0.435 14.393 True 0.000699699 1476 True 1233.78167437 1234.19036218 1233.986018 0.408687810 0.48 0.5 0.837846239572
10936170 http://www.planethunters.org/subjects/10936170_16-synth-1478.json /raw/kepler/lightcurves/0109/010936170/kplr010936170-2013098041711_llc.fits 0.51 15.046 True 0.000974422 1478 True 1504.03444778 1504.1774808 1504.105964 0.143033017 0.48 0.5 0.552941080565
8042251 http://www.planethunters.org/subjects/8042251_13-synth-1483.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2012179063303_llc.fits 0.593 11.264 True 0.00202411 1483 True 1229.63330766 1229.91939045 1229.776349 0.286082797 0.48 0.5 0.796584549656
9333505 http://www.planethunters.org/subjects/9333505_1-synth-1484.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009166043257_llc.fits 0.29 12.889 True 0.002231568 1484 True 137.94924493 138.357931052 138.1535879 0.408686121 0.48 0.5 0.730208711935
9333505 http://www.planethunters.org/subjects/9333505_1-synth-1484.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009166043257_llc.fits 0.29 12.889 True 0.002231568 1484 True 159.200851069 159.629968395 159.4154097 0.429117325 0.48 0.5 0.921907575061
11714250 http://www.planethunters.org/subjects/11714250_11-synth-1490.json /raw/kepler/lightcurves/0117/011714250/kplr011714250-2012004120508_llc.fits 0.556 13.646 True 0.006120298 1490 True 1028.05735182 1028.50687748 1028.282114 0.449525657 0.48 0.5 0.972466310302
5265188 http://www.planethunters.org/subjects/5265188_13-synth-1500.json /raw/kepler/lightcurves/0052/005265188/kplr005265188-2012179063303_llc.fits 0.565 14.786 True 0.001329611 1500 True 1226.89575816 1227.26357998 1227.079669 0.367821823 0.48 0.5 0.687547666777
10963429 http://www.planethunters.org/subjects/10963429_3-synth-1501.json /raw/kepler/lightcurves/0109/010963429/kplr010963429-2009350155506_llc.fits 0.36 15.179 True 0.001520693 1501 True 306.811350435 307.138276809 306.9748136 0.326926374 0.48 0.5 0.620060375913
8042251 http://www.planethunters.org/subjects/8042251_16-synth-1503.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2013098041711_llc.fits 0.593 11.264 True 0.00202411 1503 True 1508.63155257 1509.06065446 1508.846103 0.429101884 0.48 0.5 0.869580099926
9333505 http://www.planethunters.org/subjects/9333505_6-synth-1504.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2010265121752_llc.fits 0.29 12.889 True 0.002231568 1504 True 601.507116735 601.977083537 601.7421001 0.469966802 0.48 0.5 0.951491547965
7802933 http://www.planethunters.org/subjects/7802933_3-synth-1506.json /raw/kepler/lightcurves/0078/007802933/kplr007802933-2009350155506_llc.fits 0.47 14.457 True 0.002886951 1506 True 296.819432281 296.921596148 296.8705142 0.102163866 0.48 0.5 0.517232117004
6470362 http://www.planethunters.org/subjects/6470362_13-synth-1515.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0.27 15.297 True 0.000586369 1515 True 1208.58562947 1208.74910489 1208.667367 0.163475415 0.48 0.5 0.573415031877
9833329 http://www.planethunters.org/subjects/9833329_7-synth-1516.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0.435 14.393 True 0.000699699 1516 True 700.382467078 700.831988966 700.6072280 0.449521887 0.48 0.5 0.994818933434
8474661 http://www.planethunters.org/subjects/8474661_12-synth-1517.json /raw/kepler/lightcurves/0084/008474661/kplr008474661-2012088054726_llc.fits 0.494 14.982 True 0.000839662 1517 True 1110.83061799 1111.25971984 1111.045168 0.429101852 0.48 0.5 0.786476325131
9225647 http://www.planethunters.org/subjects/9225647_15-synth-1519.json /raw/kepler/lightcurves/0092/009225647/kplr009225647-2013011073258_llc.fits 0.605 13.919 True 0.001198601 1519 True 1402.2374922 1402.62571609 1402.431604 0.388223895 0.48 0.5 0.712187297795
8042251 http://www.planethunters.org/subjects/8042251_7-synth-1523.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010355172524_llc.fits 0.593 11.264 True 0.00202411 1523 True 694.211846453 694.661365425 694.4366059 0.449518971 0.48 0.5 0.892117571241
8678445 http://www.planethunters.org/subjects/8678445_5-synth-1525.json /raw/kepler/lightcurves/0086/008678445/kplr008678445-2010174085026_llc.fits 0.588 15.226 True 0.002562324 1525 True 517.422041102 517.89202918 517.6570351 0.469988077 0.48 0.5 0.966441989333
7802933 http://www.planethunters.org/subjects/7802933_2-synth-1526.json /raw/kepler/lightcurves/0078/007802933/kplr007802933-2009259160929_llc.fits 0.47 14.457 True 0.002886951 1526 True 222.872650753 223.301749797 223.0872002 0.429099043 0.48 0.5 0.799346483078
11714250 http://www.planethunters.org/subjects/11714250_4-synth-1530.json /raw/kepler/lightcurves/0117/011714250/kplr011714250-2010078095331_llc.fits 0.556 13.646 True 0.006120298 1530 True 415.659399124 416.108941488 415.8841703 0.449542363 0.48 0.5 0.898015704264
3232334 http://www.planethunters.org/subjects/3232334_10-synth-1533.json /raw/kepler/lightcurves/0032/003232334/kplr003232334-2011271113734_llc.fits 0.602 13.904 True 0.000263363 1533 True 939.643137159 940.031379347 939.8372582 0.388242187 0.48 0.5 0.832016154093
6470362 http://www.planethunters.org/subjects/6470362_9-synth-1535.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2011177032512_llc.fits 0.27 15.297 True 0.000586369 1535 True 884.67445119 885.124011151 884.8992311 0.449559961 0.48 0.5 0.953565399819
6470362 http://www.planethunters.org/subjects/6470362_9-synth-1535.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2011177032512_llc.fits 0.27 15.297 True 0.000586369 1535 False 886.963119666 887.269637718 887.1163786 0.306518051 0.48 0.5 0.554758504905
9833329 http://www.planethunters.org/subjects/9833329_11-synth-1536.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2012004120508_llc.fits 0.435 14.393 True 0.000699699 1536 True 1066.9818759 1067.24750232 1067.114689 0.265626424 0.48 0.5 0.537986232912
8474661 http://www.planethunters.org/subjects/8474661_11-synth-1537.json /raw/kepler/lightcurves/0084/008474661/kplr008474661-2012004120508_llc.fits 0.494 14.982 True 0.000839662 1537 True 1055.23223093 1055.68175354 1055.456992 0.449522608 0.48 0.5 0.968485053947
5265188 http://www.planethunters.org/subjects/5265188_10-synth-1540.json /raw/kepler/lightcurves/0052/005265188/kplr005265188-2011271113734_llc.fits 0.565 14.786 True 0.001329611 1540 True 985.20947512 985.679436072 985.4444555 0.469960952 0.48 0.5 0.919487886672
8042251 http://www.planethunters.org/subjects/8042251_0-synth-1543.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2009131105131_llc.fits 0.593 11.264 True 0.00202411 1543 True 121.233450274 121.601271083 121.4173606 0.367820809 0.48 0.5 0.758359783848
9333505 http://www.planethunters.org/subjects/9333505_7-synth-1544.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2010355172524_llc.fits 0.29 12.889 True 0.002231568 1544 True 642.925040037 643.333698332 643.1293691 0.408658295 0.48 0.5 0.79097510016
7802933 http://www.planethunters.org/subjects/7802933_3-synth-1546.json /raw/kepler/lightcurves/0078/007802933/kplr007802933-2009350155506_llc.fits 0.47 14.457 True 0.002886951 1546 True 270.379424354 270.788080867 270.5837526 0.408656512 0.48 0.5 0.890828799386
12268054 http://www.planethunters.org/subjects/12268054_8-synth-1548.json /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0.609 13.212 True 0.003874598 1548 True 759.740876776 760.169976396 759.9554265 0.429099619 0.48 0.5 0.781914544346
11714250 http://www.planethunters.org/subjects/11714250_3-synth-1550.json /raw/kepler/lightcurves/0117/011714250/kplr011714250-2009350155506_llc.fits 0.556 13.646 True 0.006120298 1550 True 283.416180114 283.518345054 283.4672625 0.102164940 0.48 0.5 0.508558271014
12257167 http://www.planethunters.org/subjects/12257167_17-synth-1554.json /raw/kepler/lightcurves/0122/012257167/kplr012257167-2013131215648_llc.fits 0.393 15.156 True 0.000483863 1554 True 1580.37557193 1580.70251865 1580.539045 0.326946724 0.48 0.5 0.724008878383
9833329 http://www.planethunters.org/subjects/9833329_10-synth-1556.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2011271113734_llc.fits 0.435 14.393 True 0.000699699 1556 True 952.229577758 952.413481242 952.3215295 0.183903483 0.48 0.5 0.595027015783
9225647 http://www.planethunters.org/subjects/9225647_4-synth-1559.json /raw/kepler/lightcurves/0092/009225647/kplr009225647-2010078095331_llc.fits 0.605 13.919 True 0.001198601 1559 True 408.302839576 408.772814299 408.5378269 0.469974723 0.48 0.5 0.97632868585
5265188 http://www.planethunters.org/subjects/5265188_1-synth-1560.json /raw/kepler/lightcurves/0052/005265188/kplr005265188-2009166043257_llc.fits 0.565 14.786 True 0.001329611 1560 True 139.359527138 139.604740397 139.4821337 0.245213258 0.48 0.5 0.58486649481
11514174 http://www.planethunters.org/subjects/11514174_11-synth-1562.json /raw/kepler/lightcurves/0115/011514174/kplr011514174-2012004120508_llc.fits 0.537 15.346 True 0.001742307 1562 True 1029.18131635 1029.6104086 1029.395862 0.429092254 0.48 0.5 0.784473599743
8042251 http://www.planethunters.org/subjects/8042251_12-synth-1563.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2012088054726_llc.fits 0.593 11.264 True 0.00202411 1563 True 1100.69597775 1100.87987394 1100.787925 0.183896186 0.48 0.5 0.576493376126
9333505 http://www.planethunters.org/subjects/9333505_11-synth-1564.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2012004120508_llc.fits 0.29 12.889 True 0.002231568 1564 True 1066.1233849 1066.28684762 1066.205116 0.163462716 0.48 0.5 0.766837195727
8678445 http://www.planethunters.org/subjects/8678445_10-synth-1565.json /raw/kepler/lightcurves/0086/008678445/kplr008678445-2011271113734_llc.fits 0.588 15.226 True 0.002562324 1565 False 937.823904 938.232579197 938.0282415 0.408675196 0.48 0.5 0.638121493775
7802933 http://www.planethunters.org/subjects/7802933_3-synth-1566.json /raw/kepler/lightcurves/0078/007802933/kplr007802933-2009350155506_llc.fits 0.47 14.457 True 0.002886951 1566 True 326.610452321 326.937378461 326.7739153 0.326926139 0.48 0.5 0.604413115177
12268054 http://www.planethunters.org/subjects/12268054_0-synth-1568.json /raw/kepler/lightcurves/0122/012268054/kplr012268054-2009131105131_llc.fits 0.609 13.212 True 0.003874598 1568 True 125.054432075 125.320077661 125.1872548 0.265645586 0.48 0.5 0.680454607144
11714250 http://www.planethunters.org/subjects/11714250_11-synth-1570.json /raw/kepler/lightcurves/0117/011714250/kplr011714250-2012004120508_llc.fits 0.556 13.646 True 0.006120298 1570 True 1035.63798127 1036.04664011 1035.842310 0.408658843 0.48 0.5 0.635952938229
12257167 http://www.planethunters.org/subjects/12257167_7-synth-1574.json /raw/kepler/lightcurves/0122/012257167/kplr012257167-2010355172524_llc.fits 0.393 15.156 True 0.000483863 1574 True 659.210218919 659.659744933 659.4349819 0.449526014 0.48 0.5 0.964127402088
6470362 http://www.planethunters.org/subjects/6470362_14-synth-1575.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012277125453_llc.fits 0.27 15.297 True 0.000586369 1575 True 1303.5853981 1304.03494905 1303.810173 0.449550944 0.48 0.5 0.978430900275
9225647 http://www.planethunters.org/subjects/9225647_17-synth-1579.json /raw/kepler/lightcurves/0092/009225647/kplr009225647-2013131215648_llc.fits 0.605 13.919 True 0.001198601 1579 True 1565.02914011 1565.45825842 1565.243699 0.429118314 0.48 0.5 0.827242724631
10963429 http://www.planethunters.org/subjects/10963429_14-synth-1581.json /raw/kepler/lightcurves/0109/010963429/kplr010963429-2012277125453_llc.fits 0.36 15.179 True 0.001520693 1581 True 1350.58207197 1350.97030429 1350.776188 0.388232321 0.48 0.5 0.796335780188
8042251 http://www.planethunters.org/subjects/8042251_15-synth-1583.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2013011073258_llc.fits 0.593 11.264 True 0.00202411 1583 True 1407.24366562 1407.65232051 1407.447993 0.408654890 0.48 0.5 0.864301539314
9333505 http://www.planethunters.org/subjects/9333505_4-synth-1584.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2010078095331_llc.fits 0.29 12.889 True 0.002231568 1584 True 411.817730736 412.287709977 412.0527203 0.469979240 0.48 0.5 1.00907146318
3322943 http://www.planethunters.org/subjects/3322943_7-synth-1587.json /raw/kepler/lightcurves/0033/003322943/kplr003322943-2010355172524_llc.fits 0.56 15.092 True 0.003254503 1587 False 644.150940345 644.539160871 644.3450506 0.388220525 0.48 0.5 0.760073002026
11714250 http://www.planethunters.org/subjects/11714250_4-synth-1590.json /raw/kepler/lightcurves/0117/011714250/kplr011714250-2010078095331_llc.fits 0.556 13.646 True 0.006120298 1590 True 403.010962021 403.153997119 403.0824795 0.143035098 0.48 0.5 0.537924202122
9833329 http://www.planethunters.org/subjects/9833329_10-synth-1596.json /raw/kepler/lightcurves/0098/009833329/kplr009833329-2011271113734_llc.fits 0.435 14.393 True 0.000699699 1596 True 965.225374837 965.674913004 965.4501439 0.449538167 0.48 0.5 0.845560263075
9225647 http://www.planethunters.org/subjects/9225647_14-synth-1599.json /raw/kepler/lightcurves/0092/009225647/kplr009225647-2012277125453_llc.fits 0.605 13.919 True 0.001198601 1599 True 1304.48422312 1304.87246927 1304.678346 0.388246145 0.48 0.5 0.806172051663
10963429 http://www.planethunters.org/subjects/10963429_1-synth-1601.json /raw/kepler/lightcurves/0109/010963429/kplr010963429-2009166043257_llc.fits 0.36 15.179 True 0.001520693 1601 True 151.762734298 152.191850767 151.9772925 0.429116469 0.48 0.5 0.810279276014
8042251 http://www.planethunters.org/subjects/8042251_1-synth-1603.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2009166043257_llc.fits 0.593 11.264 True 0.00202411 1603 True 141.994880537 142.158356194 142.0766183 0.163475657 0.48 0.5 0.50262694215
9333505 http://www.planethunters.org/subjects/9333505_3-synth-1604.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009350155506_llc.fits 0.29 12.889 True 0.002231568 1604 True 289.607033211 290.056555208 289.8317942 0.449521997 0.48 0.5 0.885821492247
11714250 http://www.planethunters.org/subjects/11714250_11-synth-1610.json /raw/kepler/lightcurves/0117/011714250/kplr011714250-2012004120508_llc.fits 0.556 13.646 True 0.006120298 1610 True 1034.3711385 1034.82066346 1034.595900 0.449524957 0.48 0.5 0.783042399822
3232334 http://www.planethunters.org/subjects/3232334_1-synth-1613.json /raw/kepler/lightcurves/0032/003232334/kplr003232334-2009166043257_llc.fits 0.602 13.904 True 0.000263363 1613 True 155.931849069 156.360970688 156.1464098 0.429121619 0.48 0.5 0.80007225278
6470362 http://www.planethunters.org/subjects/6470362_1-synth-1615.json /raw/kepler/lightcurves/0064/006470362/kplr006470362-2009166043257_llc.fits 0.27 15.297 True 0.000586369 1615 True 142.362666014 142.710053022 142.5363595 0.347387007 0.48 0.5 0.578995464025
10963429 http://www.planethunters.org/subjects/10963429_4-synth-1621.json /raw/kepler/lightcurves/0109/010963429/kplr010963429-2010009091648_llc.fits 0.36 15.179 True 0.001520693 1621 True 371.05293519 371.461602659 371.2572689 0.408667469 0.48 0.5 0.820822121846
8042251 http://www.planethunters.org/subjects/8042251_11-synth-1623.json /raw/kepler/lightcurves/0080/008042251/kplr008042251-2012004120508_llc.fits 0.593 11.264 True 0.00202411 1623 True 1051.10577335 1051.55529224 1051.330532 0.449518896 0.48 0.5 0.920439780147
9333505 http://www.planethunters.org/subjects/9333505_3-synth-1624.json /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009350155506_llc.fits 0.29 12.889 True 0.002231568 1624 True 339.320112711 339.749204563 339.5346586 0.429091852 0.48 0.5 0.808836598672
